42,Consultant for Inventory Management Software for Procurement Division,1,Month,Award Letter,PTB,NCB,Plutonics Software,23rd July,1Month,NIL,2310000,Abuja
43,Consultancy for Year 2015 Audit Verification Exercise at South-South ( Cross Rivers state),6,Weeks,Award Letter,PTB,NCB,Oguntade & Co,25th August,6 Weeks,NIL,2500000,Cross River
44,Consultancy for Year 2015 Audit Verification Exercise at North Central ( Kogi state),6,Weeks,Award Letter,PTB,NCB,Amedu Onekpe & Co,25th August,6 Weeks,NIL,2500000,Kogi
45,Consultancy for Year 2015 Audit Verification Exercise at North- West ( Kebbi state),6,Weeks,Award Letter,PTB,NCB,Mayowa Onanibosi & Co,25th August,6Weeks,NIL,2500000,Kebbi
46,Consultancy for Year 2015 Audit Verification Exercise at South- West ( Ekiti state),6,Weeks,Award Letter,PTB,NCB,Bancorp Consulting Ltd,25th August,6Weeks,NIL,2500000,Ekiti
47,Consultancy for Year 2015 Audit Verification Exercise at North East ( Yobe state),6,Weeks,Award Letter,PTB,NCB,Sa'ad & Co,25th August,6Weeks,NIL,2500000,Yobe
48,Consultancy for Year 2015 Audit Verification Exercise at South- East ( Imo state),6,weeks,Award Letter,PTB,NCB,Lamon Associates & Co,25th August,6Weeks,NIL,2500000,Imo
49,Engagement for provision of Meals & Refreshment in Interactive Forum,5,Days,Award Letter,PTB,NCB,Lace Restaurant,31st August,5Days,NIL,2375000,Abuja
50,Consultant to provide Event Managenent Services at Interactive Forum,3,Days,Award Letter,PTB,NCB,Sagita System Ltd,2nd September,3 Days,NIL,1050000,Abuja
51,engagement as a consultant to design & air pidgin & english (south-south),13,Weeks,Award Letter,PTB,NCB,IMS Digital Media Concept,10th September,13 Weeks,NIL,45000000,Various States
52,"supply of project vehicles, office equipment for South-East zonal office",4,Weeks,Award Letter,PTB,NCB,Onyebros Standard Vision Ltd,21st September,4Weeks,NIL,26444617.5,Various States
53,"supply of project vehicles, office equipment for North-East zonal office",4,Weeks,Award Letter,PTB,NCB,Joetex Standard Ltd,21st September,4Weeks,NIL,27457426.5,Various States
54,"supply of project vehicles, office equipment for South-South zonal office",4,Weeks,Award Letter,PTB,NCB,Fortune Faisa Int Ltd,21st September,4Weeks,NIL,32670120,Various States
55,"supply of project vehicles, office equipment for North-Central zonal office",4,Weeks,Award Letter,PTB,NCB,Hilany Nig Ltd,21st September,4Weeks,NIL,26334525,Various States
56,"supply of project vehicles, office equipment for South- West zonal office",4,Weeks,Award Letter,PTB,NCB,Mubarak Real Solid Ltd,21st September,4Weeks,NIL,26497800,Various States
57,"supply of project vehicles, office equipment for North- West zonal office",4,Weeks,Award Letter,PTB,NCB,Nebat Global Concept,21st September,4Weeks,NIL,26256300,Various States
58,Welfare Package for all staff of TETFund for Eid Kabir,4,Weeks,Award Letter,PTB,NCB,Amber Blaze Ltd,21st September,4Weeks,NIL,6264010,Various States
59,Contract to provideFumigation & Pest Control Services at TETFund,1,Week,Award Letter,PTB,NCB,Mijobe Enterprises Ltd,24th September,1Week,NIL,1400000,Abuja
60,Contract for supply of office Equipment,4,Weeks,Award Letter,PTB,NCB,Robust Project Limited,18th November,4Weeks,NIL,13176750,Abuja
61,"Award for the supply of Desktop Computers, Laptops & Tablets PC",4,Weeks,Award Letter,PTB,NCB,Mutual Infrastructure Ltd,18th November,4Weeks,NIL,49087500,Abuja
62,Award for provision of Water proofing & Roof Maintenance (Civil Works),1,Week,Award Letter,PTB, NCB,Havage Engr. Services,18th November,1Week,NIL,34563270,Abuja
63,Award for the supply of Air Conditioners,4,Weeks,Award Letter,PTB,NCB,Ecoo Energy Devt & Tech,18th November,4Weeks,NIL,8228325,Abuja
64,Award for the production of 2013 Annual Reports (2000) Copies,2,Weeks,Award Letter,PTB,NCB,Parliament Comm,4th December,2Weeks,NIL,19680000,Abuja
65,Award for the production of hard & Soft (1250) Copies Compendiums,2,Weeks,Award Letter,PTB,NCB,Parliament Comm,4th December,2Week,NIL,25000000,Abuja
66,Consultant to Guide the implementation of International Public Sector,12,Weeks,Award Letter,PTB,NCB,PA Adebimpe & Co,4th December,12 Weeks,NIL,43000000,Abuja
67,supply of Project Monitoring Vehicle for Boy-Child Project,1,Units,Award Letter,PTB,NCB,Lyson Global Ltd,18th November,3weeks,NIL,8750000,Abuja
68,Supply of Project Monitoring sports utility vehicle SUV,3,Units,Award Letter,PTB,NCB,Lyson Global Ltd,18th November,3weeks,NIL,46848768.75,Abuja
69,Supply of Vehicles (Saloon Cars and Double Pick-up Cabin,3,Units,Award Letter,PTB,NCB,Telmac Engr. Services,18th November,4Weeks,NIL,23876790,Abuja
