1,"Purchase and Rehabilitation of property/uncompleted
building for NI-15 Coorperate Head Office","January 4, 2018",Single Sourcing,V.5 Associates Limited,990000000,100,"BPP Letter of
compliance dated
",,20 August 2015
22,Maintenance of Three 350KVA Generator at Utako and Wuse II Office,"September 14, 2015","National
Competitive Bidding",Pieroshio Nig Ent. ,2047500,100,"Federal Tenders
Journal, Daily
Trust and
Guardian of 4th
May-15",08036511222,4 May-15
23,Purvhase of Drivers Uniform,"September 1, 2015","National
Competitive Bidding","Gold Hands Manager Limited
",9941200,100,"Federal Tenders
Journal, Daily
Trust and
Guardian of 4th
May-15",08066136688/ 08033708870,4 May-15
24,Renewal of Contract for the Voluntary Contribution Program Service for the Extention of Operation of the Pilot Project,"September 11, 2015","Renewal of
contract",Exaro Ent Solution ,30000000,100,,08034528220,
25,"Renewal of Contrat for the Continues Hosting and Support of Online website aril functionalities for formal sector
Programme -","September 11, 2015","Renewal of
contract",Exaro Ent Solution ,30000000,100,,08034528220,
26,Maintenance of HP High End Servers and Accessories at NHIS Wuse Data Center,"November 25, 2015","National
Competitive Bidding","Pure Access IT Limited
",5000000,On-going,"Federal Tenders Journal, Daily Trust and Guardian of ",08033148959,"1 April, 2014"
27,Maintenance of 50KVA Power Back up Solution with Battery Replacement,"November 25, 2015","National
Competitive Bidding","Pure Access IT Limited
",5000000,On-going,"Federal Tenders Journal, Daily Trust and Guardian of 1st April, 2014",08033148959,"1 April, 2014"
28,Management of Enrollee Data Base,"September 14, 2015","National
Competitive Bidding",Quanteq Technology Service Limited ,10998000,100,"Federal Tenders Journal, Daily Trust and Guardian of 1st April, 2014",08068861909,"1 April, 2014"
29,"Provision of Comprehensive Insurance Cover for NHIS Vehicle
Lead Underwriter","October 27, 2015","National
Competitive Bidding","Zenith General Insurance Coy. Ltd
",16700873.98,On-going,"Federal Tenders Journal, Daily Trust and Guardian of 4th May, 2015",07035663128/ 08038174111,"4th May, 2015"
30,Printing of NHIS Documents,"November 25, 2015","National
Competitive Bidding",Yaliam Press Ltd ,14759083.5,On-going,"Federal Tenders Journal, Daily Trust and Guardian of ",08037222209/ 08054356202,"4th May, 2015"
31,Printing of Customized Pull-up Banner,"November 25, 2015","National
Competitive Bidding",Yaliam Press Ltd ,49140000,On-going,"Federal Tenders Journal, Daily Trust and Guardian of 4th May, 2015",08037222209/ 08054356202,"4th May, 2015"
32,Supply of NHIS Branded formular I shirt,"November 25, 2015","National
Competitive Bidding","Assured Concept Limited
",16801500,On-going,"Federal Tenders Journal, Daily Trust and Guardian of 4th May, 2015",08035814100,"4th May, 2015"
33,Supply of NHIS Branded Quality Umbrallas,"November 25, 2015","National
Competitive Bidding","Assured Concept Limited
",3442500,100,"Federal Tenders Journal, Daily Trust and Guardian of 4th May, 2015",08035814100,"4th May, 2015"
34,Supply of NHIS Branded Executive Variety Pack,"November 25, 2015","National
Competitive Bidding","Golden Gesture Limited
",3675000,On-going,"Federal Tenders Journal, Daily Trust and Guardian of 4th May, 2015",08036138589,"4th May, 2015"
35,Supply of Branded NHIS Executive Pens,"November 25, 2015","National
Competitive Bidding","Pope Don B. Nigeria Ltd
",6300000,100,"Federal Tenders Journal, Daily Trust and Guardian of 4th May, 2015",08053000140,"4th May, 2015"
36,Production and Installation of Double Faced Bill Boards,"November 25, 2015","National
Competitive Bidding",PD& Serene Integrated Services ,27082125,On-going,"Federal Tenders Journal, Daily Trust and Guardian of 4th May, 2015",08057330173,"4th May, 2015"
37,Production and Installation of Double Faced Bill Boards,"November 25, 2015",,Dei- Carina Intl Ltd ,16240215,On-going,,08023066389,
38,Supply of NHIS Jute Carrier Bags,"November 25, 2015",,"Golden Gesture Limited
",8044500,100,,8036138589,
39,Supply of NH1S Branded Ball Pen,"December 9, 2015",,"Golden Gesture Limited
",2205000,100,,8036138589,
40,Supply of Leather Bond Jotters,"December 9, 2015",,"Golden Gesture Limited
",2100000 00,100,,8036138589,
41,Supply of Spiral Bond Jotters,"December 9, 2015",,"Golden Gesture Limited
",2450000,100,,8036138589,
42,Supply of Branded Umbrellas,"December 15, 2015",,"Assured Concept Limited 
",7087500,100,,8035814100,
