53,"Halaco Prints and Halaco Prints and
Media Ltd",CAC/PU/CUG/078,"Supply of 2000
packets of despatch envelopes",Completed,"Registrar
General",2300000,"23rd December, 2015"
54,"Gaisan Technologies
Ltd",CAC/PU/CUG/080,"Supply of ICT
Equipment (Lot 3)",Completed,"Commission's
Tender Board",43936100,"30th December, 2015"
55,A & A Multi Contract Limited,CAC/PU/CLJG/082,"Supply of 70 units of 500GB SATA Drive Desktop and 20 units
of 250GB IDE Hard Drive",Completed,"Registrar
General",2480000,"30th December, 2015"
56,Yalzad Integrated Resources Limited,CAC/PU/CUG/084,Supply of 5.0 meters and 10 meters Network Cables,Completed,"Registrar
General",850000,"31st December, 2015"
57,Shukuriya Integrated Services Ltd,CAC/PU/CUG/086,"Supply of 150 units of
Commission's Digital
Brochure",Completed,"Registrar
General",2475000,31st December
58,Movadek Nigeria Limited,CAC/PU/CUG/089,Supply and installation of 30 Nos. fire extinguishing balls,Completed,"Registrar
General",1575000,31st December
59,Adpromo Communications Ltd,CAC/PU/CLIS/001,"Maintenance and technical support services for the integration of the Commission's automated
receipt software",Completed,"Registrar
General",2610000,"12th January, 2015"
60,Prostaller Nig. Ltd,CAC/PU/CL/S/002,Servicing of fire extinguisher in Maitama Head office,Completed,"Registrar
General",1684500,"29th January, 2015"
61,Photovoltak Consultants Nig. Ltd,CAC/Rita/W/001,"Replacement of smoke detector equipments at the Head Office, Maitama",Completed,"Registrar
General",2171715,"26th March, 2015"
62,Earnest Resources Services Co,CACIPU/CL/W/002,"supply and installation of
Earthing materials in server room and mast pole surge protection in Port-Harcourt",Completed,"Registrar
General",3320800,1st April 2015
63,Muhsin Nigeria Ltd,CAC/PU/CUW/003,"Supply and installation of CAC embossed window blind (cream colour) for Port-Harcourt and Sokoto Offices of the
Commission",Completed,"Registrar
General",4019226,"28th April, 2015"
64,Maple Leaf Ventures Limited,CAC/PU/CUW/004,Additional fence work and provision of burglar proof for the Jos Office of the Commission,Completed,"Registrar
General",2921904,"28th May, 2015"
65,Bamboo Nig. Limited,CAC/PU/CL/W/005,Provision of burglar proof grilles at the ground floor of the Multi Level Car Park,Completed,"Registrar
General",2492637,"2nd June, 2015"
66,Bamboo Nig. Limited,CAC/PU/CL/W/006,"construction of security post at multi-level car park at the Commission's premises Maitama, Abuja",Completed,"Registrar
General",2220865.5,"2nd June, 2015"
67,Qualtyn Global Ventures Ltd,CAC/PU/CL/W/007,Interlocking of Katsina Office of the Commission,Completed,"Registrar
General",4362400,"30th June, 2015"
68,Prostaller Nig. Ltd,CAC/PU/CL/W/103,Servicing/refilling of fire extinguisher at Wuse Zone 5 office,Completed,"Registrar
General",577700,"8th April, 2015"
69,Techcraft International Ventures Ltd,CAC/PU/CL/W/008,Building of generator house for Katsina Office of the Commission,Completed,"Registrar
General",2975000,"2nd July, 2015"
70,Earnest Resources Services Co.,CAC/PU/CLIW/009,Supply and installation of Earthing materials in server room and mast pole surge protection in Port-Harcourt,Completed,"Registrar
General",3320800,"23rd July, 2015
."
71,B.M.Maru Services,CAC/PU/CL/W/010,"Provision of network ports in PRS department, QMS
Office and Public Relation department",Completed,"Registrar
General",4867800,"23rd July, 2015"
72,Ask.M.IT Global Resources,CAC/PU/CL/W/011,"Installation of IP-based
CCTV Surveillance System for Alausa office",Completed,"Registrar
General",4738450,"18TH July, 2014"
73,Scropnov Limited,CAC/PU/CL/W/017,"Construction of vehicle shade at Benin
office",Completed,"Registrar
General",2950000,"8th September, 2015"
74,Platoon Global Investment Ltd,CAC/PU/CL/W/018,"Supply and installation of 105m2 window blinds at Customer Service department Head Office, Maitama",Completed,"Registrar
General",2205000,"11th September, 2015"
75,Jibrin EI-khalid Limited,CAC/PU/CL/S/115,"Servicing of fire
extinguishers at Head Maitama, Office",Completed,"Registrar
General",1695200,"2nd July, 2015"
76,Techcraft Intl Ventures Ltd,CAC/PU/CL/W/019,Renovation of Bayelsa Office Building,Completed,"Commission's
Tenders Board",26943390,"30th October, 2015"
77,Cyfwat Limited,CAC/PU/CL/W/020,Building of perimeter fence and gate house at Calabar Office,Completed,"Commission's
Tenders Board",9630000,"30th October, 2015"
78,Shukuriyya Synergy Services,CAC/PU/CL/W/122,In-door/out-door fumigation and de-ratification of the Commission's Head Office Maitama,Completed,"Registrar
General",2450000,"5th October, 2015
."
79,Ifymick Integrated Nigeria,CAC/PU/CL/W/021,Renovation and maintenance works at the Commission new Akure Office building,Completed,"Registrar
General",3900000,"18th November, 2015"
80,Dumau Nigeria Ltd,CAC/PU/CL/W/022,Renovation and maintenance works at the Commission Kaduna Office building,Completed,"Registrar
General",4719500,"1st December, 2015"
81,Bambo Nig. Ltd,CAC/PU/CL/W/023.,Construction of Multi-Level Car Park (Phase II),On-going,"Commission's
Tenders Board",240362060.8,"23rd December, 2015"
82,Mole Associates Nig. Ltd,CAC/PU/CL/W/024,Supply and installation of lifts,On-going,"Commission's
Tenders Board",97525345,"231d December, 2015"
83,Nathro Multi Services,CAC/PU/CL/W/025,Installation of Ross Mobile Filing Cabinets at Jos Office,Completed,"Registrar
General",715000,"29th December, 2015"
84,Moon Rock Limited,CAC/PU/CL/W/026,Supply and replacement of the Combo Pack of the Baggage Scanner at the Maitama Head Office,Completed,"Registrar
General",2130000,"30th December, 2015"
85,Michsul Nigeria Ltd Michsul,CAC/PU/CM/027,"Repairs of walls affected by moisture and maintenance of wall cracks by the expansion
at the Maitama Head
Office Office",Completed,Registrar General,2490000,"30th December, 2015"
86,Citadel-Tents and Shelters Ltd,CAC/PU/CL/W1028,Painting work at Customer Service/Records Management Departments areas and other public areas of Maitama Head Office,Completed,"Registrar
General",2493158,"30th December, 2015"
87,Scorpnov Limited,CAC/PLECL/W/029,Relocation and renovation of the new Calabar Office,Completed,"Registrar
General",2468000,"31St December, 2015"
88,Y.D.Jagaba Petroleum Nigeria Limited,CAC/PU/CL/W/030,Pressure/leak test and calibration exercise for underground storage tanks (Ago Product Tank),Completed,"Registrar
General",973000,"31st December, 2015"
89,MicroAccess Ltd,CAC/PU/CL/S/003,Annual Maintenance/Servicing of FM200 fire extinguisher in Maitama Head office,Completed,"Registrar
General",766500,"29th January, 2015"
90,Sulbalake International Nig. Ltd,CAC/PU/CL/S/004,"Servicing and general maintenance of the
1000kva transformer and ring unit at Head Office Maitama",Completed,Registrar General,434000,"13th February, 2015"
91,Pricewaterhouse Coopers,CAC/PU/CLJS/005,"Recruitment service for the employment of Deputy Director, Information Communication Technology ( ICT) ",Completed,Registrar General,2482785.75,"4th March, 2015"
92,HR Nig. Limited,CAC/PU/CL/S/006,Actuarial Evaluation and Estimation of the Commission's Gratuity and Severance Liabilities,Completed,Registrar General,2100000,"10th March, 2015"
93,OASIS Management Company,CAC/PLECUS/110,Configuration and clustering of application and web servers,Completed,"Commission's
Tenders Board",9135000,"24th March, 2015"
94,Afri-Med Nig. Ltd,CAC/PU/CUS/112,"Upgrading of the Server ATS Panel at Head
Office, Maitama from
200A to 500A",Completed,"Commission's
Tenders Board",5586050,"3rd June, 2015"
